COUNT,PER%,ANGLE,DIST
0,0.0,187,50.21951811795888
0,0.0,187,62.39390995922599
0,0.0,271,18.68154169226941
0,0.0,246,23.769728648009423
0,0.0,165,130.034610777285
0,0.0,168,93.17188417113825
0,0.0,190,409.00122249206055
0,0.0,185,357.01260481949373
0,0.0,181,309.13104017552166
0,0.0,179,301.3254055004324
0,0.0,169,282.20028348674634
0,0.0,169,277.73548566936853
0,0.0,168,282.17902119044925
0,0.0,171,290.11894112587686
0,0.0,173,292.97952146865146
0,0.0,176,295.7363690857112
0,0.0,177,289.5582842883277
0,0.0,174,259.3067681338071
0,0.0,171,256.3220630378899
0,0.0,174,223.0874268084152
0,0.0,176,219.8226557932553
0,0.0,184,184.7836572860273
0,0.0,186,169.49926253526883
0,0.0,188,181.0690476033936
0,0.0,190,186.0107523773828
0,0.0,191,198.22462006521792
0,0.0,164,151.0
0,0.0,155,141.0319112825179
0,62.82,104,126.19429464123962
0,77.66,94,126.8897158953396
1,100.0,57,79.90619500389191
1,100.0,64,67.35725647619564
1,100.0,61,73.40980860893181
1,100.0,60,78.00640999302557
1,100.0,76,60.92618484691127
1,96.79,82,56.61271941887264
1,100.0,75,64.4980619863884
1,100.0,73,64.28063471995279
1,100.0,73,168.1071087134628
1,0.0,211,390.1550973651376
1,0.0,206,401.44987233775527
1,0.0,206,557.2297551279903
1,0.0,200,664.3643578639661
1,0.0,200,694.0259361147824
1,0.0,199,697.0114776673337
1,0.0,197,708.0176551471016
1,0.0,197,709.0176302462443
1,0.0,195,716.0111730971801
1,0.0,194,717.0062761231592
1,0.0,194,714.0007002797686
1,0.0,196,711.0028129339573
1,0.0,197,712.0
1,0.0,197,710.0028168958205
1,0.0,197,714.0
1,0.0,197,709.0007052182671
1,0.0,199,701.011412175294
1,0.0,201,697.0258244857216
1,0.0,203,669.0478308760892
1,0.0,205,628.1791145843675
1,0.0,203,548.4824518614976
1,0.0,204,533.5859818248601
1,0.0,200,453.3982796614914
1,0.0,201,446.3630809105968
1,0.0,200,372.3439270352076
1,24.15,129,246.27017683836587
1,26.3,127,246.4345754962156
1,65.51,102,187.5419952970534
2,100.0,34,155.2610704587599
2,100.0,24,155.82361823549087
2,100.0,29,141.4213562373095
2,100.0,29,139.5886814895821
2,100.0,38,117.09824934643558
